Names	MrBeast
Bar Color	#00acd2
Bar Images	x
11-Nov-13	412
12-Nov-13	417
13-Nov-13	418.5
14-Nov-13	420
15-Nov-13	421
16-Nov-13	422
17-Nov-13	425
18-Nov-13	425.5
19-Nov-13	426
20-Nov-13	426.333
21-Nov-13	426.667
22-Nov-13	427
23-Nov-13	426.333
24-Nov-13	425.667
25-Nov-13	425
26-Nov-13	427
27-Nov-13	540.5
28-Nov-13	654
29-Nov-13	655
30-Nov-13	653.333
1-Dec-13	651.667
2-Dec-13	650
3-Dec-13	642
4-Dec-13	641
5-Dec-13	640
6-Dec-13	639
7-Dec-13	640
8-Dec-13	641
9-Dec-13	643
10-Dec-13	641
11-Dec-13	640.714
12-Dec-13	640.429
13-Dec-13	640.143
14-Dec-13	639.857
15-Dec-13	639.571
16-Dec-13	639.286
17-Dec-13	639
18-Dec-13	647.167
19-Dec-13	655.333
20-Dec-13	663.5
21-Dec-13	671.667
22-Dec-13	679.833
23-Dec-13	688
24-Dec-13	691.429
25-Dec-13	694.857
26-Dec-13	698.286
27-Dec-13	701.714
28-Dec-13	705.143
29-Dec-13	708.571
30-Dec-13	712
31-Dec-13	713
1-Jan-14	714
2-Jan-14	715
3-Jan-14	716
4-Jan-14	717
5-Jan-14	718
6-Jan-14	718.5
7-Jan-14	719
8-Jan-14	719.5
9-Jan-14	720
10-Jan-14	721
11-Jan-14	722
12-Jan-14	723
13-Jan-14	724
14-Jan-14	728.5
15-Jan-14	733
16-Jan-14	735
17-Jan-14	734
18-Jan-14	733.667
19-Jan-14	733.333
20-Jan-14	733
21-Jan-14	734.833
22-Jan-14	736.667
23-Jan-14	738.5
24-Jan-14	740.333
25-Jan-14	742.167
26-Jan-14	744
27-Jan-14	745
28-Jan-14	746
29-Jan-14	747
30-Jan-14	748
31-Jan-14	750
1-Feb-14	753.5
2-Feb-14	757
3-Feb-14	758.167
4-Feb-14	759.333
5-Feb-14	760.5
6-Feb-14	761.667
7-Feb-14	762.833
8-Feb-14	764
9-Feb-14	766
10-Feb-14	768
11-Feb-14	769.429
12-Feb-14	770.857
13-Feb-14	772.286
14-Feb-14	773.714
15-Feb-14	775.143
16-Feb-14	776.571
17-Feb-14	778
18-Feb-14	779.4
19-Feb-14	780.8
20-Feb-14	782.2
21-Feb-14	783.6
22-Feb-14	785
23-Feb-14	788.5
24-Feb-14	792
25-Feb-14	794.75
26-Feb-14	797.5
27-Feb-14	800.25
28-Feb-14	803
1-Mar-14	806.333
2-Mar-14	809.667
3-Mar-14	813
4-Mar-14	814.429
5-Mar-14	815.857
6-Mar-14	817.286
7-Mar-14	818.714
8-Mar-14	820.143
9-Mar-14	821.571
10-Mar-14	823
11-Mar-14	828
12-Mar-14	833
13-Mar-14	834
14-Mar-14	839.75
15-Mar-14	845.5
16-Mar-14	851.25
17-Mar-14	857
18-Mar-14	862
19-Mar-14	867
20-Mar-14	872
21-Mar-14	877
22-Mar-14	882
23-Mar-14	887
24-Mar-14	892
25-Mar-14	899.25
26-Mar-14	906.5
27-Mar-14	913.75
28-Mar-14	921
29-Mar-14	927
30-Mar-14	933
31-Mar-14	939
1-Apr-14	944
2-Apr-14	949
3-Apr-14	954
4-Apr-14	959
5-Apr-14	964
6-Apr-14	972.5
7-Apr-14	981
8-Apr-14	985.5
9-Apr-14	990
10-Apr-14	992.5
11-Apr-14	995
12-Apr-14	999
13-Apr-14	1003
14-Apr-14	1009
15-Apr-14	1011
16-Apr-14	1013
17-Apr-14	1017
18-Apr-14	1021
19-Apr-14	1025
20-Apr-14	1029
21-Apr-14	1033
22-Apr-14	1042
23-Apr-14	1045
24-Apr-14	1055
25-Apr-14	1057.5
26-Apr-14	1060
27-Apr-14	1070
28-Apr-14	1076
29-Apr-14	1077.5
30-Apr-14	1079
1-May-14	1084.5
2-May-14	1090
3-May-14	1095.5
4-May-14	1101
5-May-14	1110
6-May-14	1117.5
7-May-14	1125
8-May-14	1126
9-May-14	1133
10-May-14	1137.5
11-May-14	1142
12-May-14	1145
13-May-14	1148
14-May-14	1154
15-May-14	1160
16-May-14	1166
17-May-14	1167
18-May-14	1168
19-May-14	1171
20-May-14	1174
21-May-14	1175
22-May-14	1178
23-May-14	1180
24-May-14	1182
25-May-14	1189
26-May-14	1190
27-May-14	1193
28-May-14	1197
29-May-14	1201
30-May-14	1203.5
31-May-14	1206
1-Jun-14	1208
2-Jun-14	1216
3-Jun-14	1220
4-Jun-14	1226
5-Jun-14	1232
6-Jun-14	1236
7-Jun-14	1239
8-Jun-14	1247
9-Jun-14	1254
10-Jun-14	1258
11-Jun-14	1263
12-Jun-14	1266
13-Jun-14	1278
14-Jun-14	1284
15-Jun-14	1292
16-Jun-14	1276
17-Jun-14	1300
18-Jun-14	1302
19-Jun-14	1305
20-Jun-14	1309
21-Jun-14	1310
22-Jun-14	1314
23-Jun-14	1320
24-Jun-14	1325
25-Jun-14	1326
26-Jun-14	1315
27-Jun-14	1323
28-Jun-14	1328
29-Jun-14	1335
30-Jun-14	1340
1-Jul-14	1345
2-Jul-14	1351
3-Jul-14	1355
4-Jul-14	1356
5-Jul-14	1362
6-Jul-14	1366
7-Jul-14	1373
8-Jul-14	1381
9-Jul-14	1387
10-Jul-14	1394
11-Jul-14	1395
12-Jul-14	1397
13-Jul-14	1401
14-Jul-14	1407
15-Jul-14	1413
16-Jul-14	1427
17-Jul-14	1430
18-Jul-14	1437
19-Jul-14	1446
20-Jul-14	1457
21-Jul-14	1461
22-Jul-14	1465
23-Jul-14	1470
24-Jul-14	1472
25-Jul-14	1470
26-Jul-14	1472
27-Jul-14	1473
28-Jul-14	1480
29-Jul-14	1482
30-Jul-14	1487
31-Jul-14	1490
1-Aug-14	1491
2-Aug-14	1492
3-Aug-14	1498
4-Aug-14	1497
5-Aug-14	1502
6-Aug-14	1503
7-Aug-14	1511
8-Aug-14	1512
9-Aug-14	1521
10-Aug-14	1524
11-Aug-14	1526
12-Aug-14	1529
13-Aug-14	1530
14-Aug-14	1534
15-Aug-14	1535
16-Aug-14	1537
17-Aug-14	1538
18-Aug-14	1546
19-Aug-14	1552
20-Aug-14	1554
21-Aug-14	1559
22-Aug-14	1558
23-Aug-14	1556
24-Aug-14	1560
25-Aug-14	1563
26-Aug-14	1565
27-Aug-14	1568
28-Aug-14	1571
29-Aug-14	1573
30-Aug-14	1580
31-Aug-14	1581
1-Sep-14	1584
2-Sep-14	1588
3-Sep-14	1593
4-Sep-14	1597
5-Sep-14	1602
6-Sep-14	1603
7-Sep-14	1609
8-Sep-14	1610
9-Sep-14	1612
10-Sep-14	1611
11-Sep-14	1614
12-Sep-14	1612
13-Sep-14	1613
14-Sep-14	1615
15-Sep-14	1614
16-Sep-14	1615
17-Sep-14	1616
18-Sep-14	1617
19-Sep-14	1616
20-Sep-14	1618
21-Sep-14	1616
22-Sep-14	1620
23-Sep-14	1620.5
24-Sep-14	1621
25-Sep-14	1623
26-Sep-14	1624
27-Sep-14	1625
28-Sep-14	1630
29-Sep-14	1631
30-Sep-14	1632
1-Oct-14	1633
2-Oct-14	1635
3-Oct-14	1636
4-Oct-14	1637
5-Oct-14	1640
6-Oct-14	1643
7-Oct-14	1646
8-Oct-14	1648
9-Oct-14	1650.5
10-Oct-14	1653
11-Oct-14	1655.5
12-Oct-14	1658
13-Oct-14	1656
14-Oct-14	1658
15-Oct-14	1659
16-Oct-14	1661
17-Oct-14	1663
18-Oct-14	1665
19-Oct-14	1668
20-Oct-14	1669
21-Oct-14	1668
22-Oct-14	1667
23-Oct-14	1669
24-Oct-14	1668
25-Oct-14	1669
26-Oct-14	1670
27-Oct-14	1671
28-Oct-14	1672
29-Oct-14	1675
30-Oct-14	1674
31-Oct-14	1673
1-Nov-14	1674
2-Nov-14	1677
3-Nov-14	1680
4-Nov-14	1681
5-Nov-14	1685
6-Nov-14	1685.5
7-Nov-14	1686
8-Nov-14	1688
9-Nov-14	1690
10-Nov-14	1693
11-Nov-14	1691
12-Nov-14	1690
13-Nov-14	1689.5
14-Nov-14	1689
15-Nov-14	1688
16-Nov-14	1689
17-Nov-14	1692
18-Nov-14	1693.5
19-Nov-14	1695
20-Nov-14	1695.5
21-Nov-14	1696
22-Nov-14	1698
23-Nov-14	1697
24-Nov-14	1699
25-Nov-14	1701
26-Nov-14	1700
27-Nov-14	1699
28-Nov-14	1698
29-Nov-14	1701
30-Nov-14	1704
1-Dec-14	1709
2-Dec-14	1706
3-Dec-14	1708
4-Dec-14	1709
5-Dec-14	1710
6-Dec-14	1712
7-Dec-14	1713
8-Dec-14	1719
9-Dec-14	1719.5
10-Dec-14	1720
11-Dec-14	1720.5
12-Dec-14	1721
13-Dec-14	1725
14-Dec-14	1727
15-Dec-14	1729
16-Dec-14	1730
17-Dec-14	1731
18-Dec-14	1735
19-Dec-14	1736.5
20-Dec-14	1738
21-Dec-14	1740
22-Dec-14	1741.5
23-Dec-14	1743
24-Dec-14	1745
25-Dec-14	1746
26-Dec-14	1745.5
27-Dec-14	1745
28-Dec-14	1747
29-Dec-14	1745
30-Dec-14	1746
31-Dec-14	1751
1-Jan-15	1753
2-Jan-15	1760
3-Jan-15	1761
4-Jan-15	1765
5-Jan-15	1767
6-Jan-15	1770
7-Jan-15	1775
8-Jan-15	1776
9-Jan-15	1778
10-Jan-15	1779
11-Jan-15	1780
12-Jan-15	1781
13-Jan-15	1784
14-Jan-15	1785
15-Jan-15	1786
16-Jan-15	1787
17-Jan-15	1789
18-Jan-15	1791
19-Jan-15	1790
20-Jan-15	1791
21-Jan-15	1793
22-Jan-15	1794
23-Jan-15	1795
24-Jan-15	1796
25-Jan-15	1795
26-Jan-15	1795.5
27-Jan-15	1796
28-Jan-15	1797
29-Jan-15	1798
30-Jan-15	1798.5
31-Jan-15	1799
1-Feb-15	1799.5
2-Feb-15	1800
3-Feb-15	1802
4-Feb-15	1808
5-Feb-15	1810
6-Feb-15	1809
7-Feb-15	1808
8-Feb-15	1810
9-Feb-15	1812000
10-Feb-15	1807
11-Feb-15	1806.667
12-Feb-15	1806.333
13-Feb-15	1806
14-Feb-15	1808
15-Feb-15	1811
16-Feb-15	1811.5
17-Feb-15	1812
18-Feb-15	1814
19-Feb-15	1815
20-Feb-15	1816
21-Feb-15	1820
22-Feb-15	1821
23-Feb-15	1822
24-Feb-15	1823
25-Feb-15	1824
26-Feb-15	1826
27-Feb-15	1827.5
28-Feb-15	1829
1-Mar-15	1830
2-Mar-15	1831
