names	Grian	SmallishBeans	Dangthatsalongname	BigB - Minecraft	EthosLab	BdoubleO100	PearlescentMoon	InTheLittleWood ak...	GoodTimesWithScar	impulseSV	Tango Tek	ZombieCleo	Solidarity	MCSkizzleman
Bar colors	#8a0a01	#3866f9	#48bfea	#c0efff	#87CEEB	#35168b	#fff5c3	#72ca30	#306166	#f2ca37	#fc1900	#abadaa	#373797	#0020ff
Bar images	x	x	x	x	x	x	x	x	x	x	x	x	x	x
14-Mar-12	0	232015			131521	32184	0	2481	1623			4753		
15-Mar-12	0	232019			132242	32331	0	2776	1625			4760		
16-Mar-12	0	232013			132991	32512	0	3196	1634			4766.5		
17-Mar-12	0	232023			133807	32724	0	4193	1639			4773		
18-Mar-12	0	232010			134825	32959	0	5428	1648			4787		
19-Mar-12	0	231995.5			135599	33094	0	6143	1662			4788		
20-Mar-12	0	231981			136446	33428	0	6565	1667			4796		
21-Mar-12	0	232006			137373	34048	0	6630	1673			4803		
22-Mar-12	0	232015			138245	34576	0	7101	1681			4810		
23-Mar-12	0	232012			139037	34976	0	7323	1691			4811		
24-Mar-12	0	232025			140179	35381	0	7596	1694			4815		
25-Mar-12	0	232033			141294	35898	0	7846	1704			4817		
26-Mar-12	0	232050			142107	36212	0	8057	1721			4831		
27-Mar-12	0	232106			142823	36426	0	8315	1726			4834		
28-Mar-12	0	232137			143540	36660	0	8442	1731			4846		
29-Mar-12	0	232126			144211	37129	0	8547	1736			4857.5		
30-Mar-12	0	232141			144884	37473	0	8632	1741			4869		
31-Mar-12	0	232132			145800	37746	0	8693	1846			4884		
1-Apr-12	0	232179			146678	38044	0	8866	1850			4892		
2-Apr-12	0	232230			147372	38265	0	9044	1863			4900		
3-Apr-12	0	232232			148082	38496	0	9190	1879			4907		
4-Apr-12	0	232259			148855	38722	0	9279	1898			4926		
5-Apr-12	0	232252			149702	38976	0	9446	1908			4924		
6-Apr-12	0	232276			150800	39284	0	9629	1923			4942		
7-Apr-12	0	232285			151717	39537	0	9902	1936			4955		
8-Apr-12	0	232313			152814	39790	0	10113	1949			4961		
9-Apr-12	0	232352			154030	40301	0	10227	1974			4969		
10-Apr-12	0	232535			155114	40770	0	10395	1988			4984		
11-Apr-12	0	232661			156080	41120	0	10513	2003			4992		
12-Apr-12	0	232802			156987	41651	0	10525	2035			5009		
13-Apr-12	0	232851			157850	42051	0	10692	2041			5017		
14-Apr-12	0	232736			158750	42549	0	10823	2044			5024		
15-Apr-12	0	232658			159760	42965	0	10829	2062			5028		
16-Apr-12	0	232669			160708	43391	0	10873	2077			5040		
17-Apr-12	0	232702			161445	43674	0	10949	2088			5045		
18-Apr-12	0	232703			162171	43965	0	11004	2106			5051		
19-Apr-12	0	232765			162875	44217	0	11039	2120			5058		
20-Apr-12	0	232807			163484	44444	0	11074	2124			5066		
21-Apr-12	0	232870			164415	44797	0	11106	2136			5073		
22-Apr-12	0	232891			165321	45114	0	11159	2154			5088		
23-Apr-12	0	232966			166181	45442	0	11158	2174			5101		
24-Apr-12	0	233053			166926	45757	0	11193	2190			5100		
25-Apr-12	0	233042			167808	46024	0	11250	2204			5104		
26-Apr-12	0	233017			168507	46287	0	11252	2212			5113		
27-Apr-12	0	233039			169207	46555	0	11293	2235			5114		
28-Apr-12	0	233055			170056	46878	0	11363	2249			5118		
29-Apr-12	0	233082			170997	47248	0	11390	2273			5130		
30-Apr-12	0	233050			171709	47595	0	11428	2294			5147		
1-May-12	0	232992			172545	47859	0	11528	2314			5153		
2-May-12	0	232972			173286	48106	0	11536	2332			5157		
3-May-12	0	232968			174079	48397	0	11783	2341			5158		
4-May-12	0	232949			175028	48625	0	11921	2352			5169		
5-May-12	0	232935			176092	49019	0	11958	2377			5173		
6-May-12	0	232929			177249	49340	0	12002	2396			5181		
7-May-12	0	232916			178200	49774	0	12040	2413			5183		
8-May-12	0	233010			178995	50059	0	12110	2433			5194		
9-May-12	0	233219			179618	50383	0	12155	2448			5205		
10-May-12	0	233212			179831	50619	0	12174	2456			5210		
11-May-12	0	233429			180963	51052	0	12172	2455			5218.5		
12-May-12	0	233456			181843	51441	0	12240	2489			5227		
13-May-12	0	233487			182793	51909	0	12261	2570			5239		
14-May-12	0	233479			183519	52247	0	12284	2573			5257		
15-May-12	0	233504			184273	52531	0	12301	2590			5260		
16-May-12	0	233472			185035	52781	0	12333	2620			5262.5		
17-May-12	0	233418			185717	52980	0	12427	2645			5265		
18-May-12	0	233134			186435	53377	0	12449	2678			5275		
19-May-12	0	232898			187195	53746	0	12481	2704			5278		
20-May-12	0	232593			188091	54138	0	12494	2725			5290		
21-May-12	0	231956			188935	54610	0	12506	2747			5324		
22-May-12	0	231000			189657	54940	0	12511	2766			5328		
23-May-12	0	229590			190356	55313	0	12510	2792			5337		
24-May-12	0	227471			190986	55614	0	12511	2820			5351		
25-May-12	0	222725			191114	55795	0	12524	2831			5359		
26-May-12	0	220145			191800	56208	0	12525	2844			5369		
27-May-12	0	219388			192487	56580	0	12542	2861			5373		
28-May-12	0	219523			193403	57019	0	12564	2895			5377		
