Date	Subscribers	Views	Subscriber 2	Views 2	Subscibers 3	Views 3	Subscribers 4	Views 4
"Apr 09, 2014"	309.1684783	17835.21196			64.17662171	24853.5656	0.75323475	54.81238447
"Apr 10, 2014"	311.0652174	17944.63043			64.21451509	24883.34208	0.757855823	55.04436229
"Apr 11, 2014"	312.9619565	18054.04891			64.25240848	24913.11856	0.762476895	55.27634011
"Apr 12, 2014"	314.8586957	18163.46739			64.29030186	24942.89503	0.767097967	55.50831793
"Apr 13, 2014"	316.7554348	18272.88587			64.32819525	24972.67151	0.771719039	55.74029575
"Apr 14, 2014"	318.6521739	18382.30435			64.36608863	25002.44799	0.776340111	55.97227357
"Apr 15, 2014"	320.548913	18491.72283			64.40398202	25032.22446	0.780961183	56.20425139
"Apr 16, 2014"	322.4456522	18601.1413			64.4418754	25062.00094	0.785582255	56.43622921
"Apr 17, 2014"	324.3423913	18710.55978			64.47976879	25091.77741	0.790203327	56.66820702
"Apr 18, 2014"	326.2391304	18819.97826			64.51766217	25121.55389	0.794824399	56.90018484
"Apr 19, 2014"	328.1358696	18929.39674			64.55555556	25151.33037	0.799445471	57.13216266
"Apr 20, 2014"	330.0326087	19038.81522			64.59344894	25181.10684	0.804066543	57.36414048
"Apr 21, 2014"	331.9293478	19148.2337			64.63134232	25210.88332	0.808687616	57.5961183
"Apr 22, 2014"	333.826087	19257.65217			64.66923571	25240.65979	0.813308688	57.82809612
"Apr 23, 2014"	335.7228261	19367.07065			64.70712909	25270.43627	0.81792976	58.06007394
"Apr 24, 2014"	337.6195652	19476.48913			64.74502248	25300.21275	0.822550832	58.29205176
"Apr 25, 2014"	339.5163043	19585.90761			64.78291586	25329.98922	0.827171904	58.52402957
"Apr 26, 2014"	341.4130435	19695.32609			64.82080925	25359.7657	0.831792976	58.75600739
"Apr 27, 2014"	343.3097826	19804.74457			64.85870263	25389.54217	0.836414048	58.98798521
"Apr 28, 2014"	345.2065217	19914.16304			64.89659602	25419.31865	0.84103512	59.21996303
"Apr 29, 2014"	347.1032609	20023.58152			64.9344894	25449.09513	0.845656192	59.45194085
"Apr 30, 2014"	349	20133			64.97238279	25478.8716	0.850277264	59.68391867
"May 01, 2014"	364	23147			65.01027617	25508.64808	0.854898336	59.91589649
"May 02, 2014"	370	24058			65.04816956	25538.42455	0.859519409	60.14787431
"May 03, 2014"	374	24580			65.08606294	25568.20103	0.864140481	60.37985213
